Ride_ID,Timestamp,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude,Distance_km,Duration_min,Fare,Payment_Method,User_ID,User_Age,User_Gender,Driver_ID,Driver_Rating,Vehicle_Type,Surge_Multiplier,Ride_Canceled
RIDE00001,2023-09-06 22:00:03,40.54576,-73.77379,40.78714,-74.00122,24.59,33.3,23.6,Credit Card,USER0269,30,Male,DRIVER136,4.6,Economy,2.0,Yes
RIDE00002,2023-02-13 00:22:59,40.68601,-73.75292,40.86841,-74.00825,3.85,22.2,29.88,Cash,USER0132,62,Male,DRIVER059,4.3,SUV,2.0,Yes
RIDE00003,2023-01-10 06:47:10,40.64756,-74.17703,40.87136,-73.9014,12.74,56.9,16.19,Wallet,USER0011,25,Non-binary,DRIVER011,3.6,Economy,1.2,No
RIDE00004,2023-10-15 17:21:12,40.88549,-73.78165,40.68722,-73.9215,12.89,44.0,5.61,Cash,USER0451,62,Female,DRIVER057,3.9,Economy,1.2,Yes
RIDE00005,2023-04-17 17:25:12,40.81112,-73.73528,40.64437,-73.73447,17.36,41.0,43.05,Wallet,USER0311,22,Non-binary,DRIVER116,3.7,Economy,2.0,No
RIDE00006,2023-04-06 03:00:20,40.62442,-73.97174,40.85617,-74.02285,4.06,51.6,38.98,Wallet,USER0032,30,Female,DRIVER062,3.6,Economy,1.5,Yes
RIDE00007,2023-03-28 20:02:20,40.87155,-73.9861,40.8177,-73.8646,19.03,10.8,28.69,Cash,USER0286,29,Male,DRIVER102,4.5,Luxury,1.5,No
RIDE00008,2023-02-24 05:17:15,40.86321,-73.7453,40.74677,-73.84522,19.73,12.2,27.57,Credit Card,USER0031,38,Female,DRIVER001,4.4,SUV,1.0,No
RIDE00009,2023-10-14 16:57:15,40.87659,-74.04907,40.79372,-74.19732,10.6,55.4,40.61,Wallet,USER0350,32,Female,DRIVER111,3.9,Luxury,1.0,No
RIDE00010,2023-02-09 17:45:00,40.73684,-73.7617,40.53117,-74.00953,18.42,26.2,6.9,Cash,USER0192,28,Male,DRIVER013,3.8,SUV,2.0,Yes
RIDE00011,2023-09-20 11:35:44,40.59714,-74.01978,40.70779,-73.86437,18.81,29.9,17.74,Wallet,USER0049,43,Female,DRIVER020,4.4,SUV,1.5,No
RIDE00012,2023-10-15 05:59:26,40.62063,-73.86775,40.59241,-73.75389,20.82,39.1,6.09,Wallet,USER0087,58,Male,DRIVER071,4.5,Luxury,1.5,No
RIDE00013,2023-12-13 19:10:42,40.82221,-74.17411,40.57725,-74.11031,4.15,16.2,33.42,Cash,USER0001,55,Female,DRIVER138,4.6,SUV,1.2,No
RIDE00014,2023-07-31 18:49:39,40.72637,-73.83701,40.72801,-73.95358,23.98,27.0,35.96,Credit Card,USER0494,36,Female,DRIVER140,4.1,SUV,1.0,No
RIDE00015,2023-02-03 01:03:28,40.7131,-73.98538,40.72337,-73.96596,20.03,8.8,6.52,Cash,USER0271,56,Male,DRIVER107,3.7,SUV,1.0,No
RIDE00016,2023-08-18 12:34:44,40.52758,-74.15241,40.79844,-73.84487,4.03,28.3,38.75,Wallet,USER0007,44,Male,DRIVER005,3.9,SUV,2.0,Yes
RIDE00017,2023-06-13 13:10:52,40.50506,-74.16103,40.73063,-74.0698,9.26,42.7,41.58,Wallet,USER0003,50,Non-binary,DRIVER129,4.1,Luxury,1.2,Yes
